partner,n_evidence_records,max_MI_score,n_publications,class
MCM2,19,0.95,10,replication_machinery
MCM7,9,0.86,6,replication_machinery
MCMBP,15,0.85,4,replication_machinery
MCM3,5,0.81,5,replication_machinery
MCM4,6,0.77,4,replication_machinery
MCM10,7,0.69,5,replication_machinery
SSRP1,4,0.67,3,replication_machinery
CDT1,4,0.66,2,replication_machinery
UBE3A,14,0.61,2,other
SNRPB2,3,0.56,1,other
NUDT2,3,0.56,1,other
FAM161A,3,0.56,1,other
ZBTB9,3,0.56,1,other
PAC1,3,0.56,1,other
PRE5,3,0.56,1,other
ING5,2,0.55,2,other
SMC1A,2,0.53,2,other
H2AX,2,0.53,2,other
H2BC1,4,0.53,2,other
H4C16,3,0.53,2,other
ASF1B,3,0.53,2,replication_machinery
ASF1A,3,0.53,2,replication_machinery
VCAM1,4,0.53,2,other
PLK1,2,0.51,2,other
CDKN2A,4,0.5,1,other
q76353_hv1,2,0.5,1,other
CFTR,10,0.48,2,other
gag-pol,2,0.46,1,other
